idx,title,authors,source,year,scopusUrl
61,AI-Based Predictive Modelling of Digitalization Effects on Investment Decisions of Gen Z Investors,"Vandana, Garima, Singh S.",International Conference on Innovative Practices in Technology and Management Iciptm 2026,2026,https://scopus.unalproxy.elogim.com/pages/publications/105037806803?origin=resultslist
62,Digital Transformation in Wealth Management: Exploring How Robo-Advisors Moderate Behavioral Biases and Shape Investment Decisions,"Verma V., Singh P., Kumar P.",Robo Advisors and Artificial Intelligence in Human Resources Management Revolutionizing Hr,2026,https://scopus.unalproxy.elogim.com/pages/publications/105037894364?origin=resultslist
63,Deciphering risk and behavioural biases in investment decision-making,Ganguly A.,"Afro Asian Journal of Finance and Accounting, 16(4)",2026,https://scopus.unalproxy.elogim.com/pages/publications/105044371714?origin=resultslist
64,Behavioral Biases in Investment Decisions,Nahidi N.,"Contributions to Finance and Accounting, Part F1945",2026,https://scopus.unalproxy.elogim.com/pages/publications/105039609503?origin=resultslist
65,Fuzzy Logic in Economics: A Model for Risk Assessment and Decision-Making,"Imamguluyev R., Abdullayev T., Aghayeva K., Sharifli I.","Lecture Notes in Networks and Systems, 1817 LNNS",2026,https://scopus.unalproxy.elogim.com/pages/publications/105040578884?origin=resultslist
66,From Rationality to Reality: Taxonomy of Biases and Mitigation Strategies for Investors,"Manchanda M., Bajaj H.",Behavioral Finance Strategies for Informed Decision Making,2026,https://scopus.unalproxy.elogim.com/pages/publications/105035817134?origin=resultslist
67,AI Supported WealthTech Solutions for Personalized Financial Planning and Investment Decisions,"Chinnasamy G., Vinoth S., Renuka S., ... Jaladi S.R., Jayashree T.",Proceedings of the 2026 International Conference on Intelligent and Innovative Technologies in Computing Electrical and Electronics Iitcee 2026,2026,https://scopus.unalproxy.elogim.com/pages/publications/105041703261?origin=resultslist
68,"The Interplay Between Behavioral Finance and Environmental, Social, and Governance (ESG) Investment Decisions: Evidence From Chinese Listed Firms","Wang B.-G., Alsagr N., Chien F.",Business Strategy and the Environment,2026,https://scopus.unalproxy.elogim.com/pages/publications/105041116928?origin=resultslist
69,The Psychology of Investing: Case Studies in Behavioral Finance,"Malik S., Jain M., Yadav M.",Behavioral Finance Strategies for Informed Decision Making,2026,https://scopus.unalproxy.elogim.com/pages/publications/105035821583?origin=resultslist
70,"Analyzing the Investors Perception, Knowledge and Factors on Equity Fund in Stock Market Investment","Manju B., Kamaladevi M.","International Journal of Special Education, 41(6S)",2026,https://scopus.unalproxy.elogim.com/pages/publications/105042252349?origin=resultslist
